task,retriever,pool_size,actual_pool_size,repeat,gold_count,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,first_gold_rank@10
flood-risk-analysis,lsa_dense,1000,1000,2,3,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.14126697285982898,9
gh-repo-analytics,lsa_dense,1000,1000,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,lsa_dense,1000,1000,2,3,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.14285714285714285,0.2920782154400332,7
gravitational-wave-detection,lsa_dense,1000,1000,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
grid-dispatch-operator,lsa_dense,1000,1000,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
hvac-control,lsa_dense,1000,1000,2,5,0.0,1.0,1.0,1.0,0.2,0.2,0.2,0.3333333333333333,0.16958010263680806,3
invoice-fraud-detection,lsa_dense,1000,1000,2,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
jax-computing-basics,lsa_dense,1000,1000,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
jpg-ocr-stat,lsa_dense,1000,1000,2,5,0.0,0.0,1.0,1.0,0.0,0.2,0.4,0.2,0.23819820987960558,5
lab-unit-harmonization,lsa_dense,1000,1000,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
lake-warming-attribution,lsa_dense,1000,1000,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
latex-formula-extraction,lsa_dense,1000,1000,2,2,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.25,0.48247555939075504,4
lean4-proof,lsa_dense,1000,1000,2,2,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.6052602440527057,2
manufacturing-codebook-normalization,lsa_dense,1000,1000,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
manufacturing-equipment-maintenance,lsa_dense,1000,1000,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
manufacturing-fjsp-optimization,lsa_dense,1000,1000,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
mario-coin-counting,lsa_dense,1000,1000,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
mars-clouds-clustering,lsa_dense,1000,1000,2,3,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.2960819109658652,2
mhc-layer-impl,lsa_dense,1000,1000,2,3,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.125,0.1480409554829326,8
multilingual-video-dubbing,lsa_dense,1000,1000,2,6,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.8333333333333334,1.0,0.7935180200065873,1
offer-letter-generator,lsa_dense,1000,1000,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
organize-messy-files,lsa_dense,1000,1000,2,5,0.0,1.0,1.0,1.0,0.2,0.2,0.4,0.5,0.32703966649239957,2
paper-anonymizer,lsa_dense,1000,1000,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
parallel-tfidf-search,lsa_dense,1000,1000,2,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
pddl-tpp-planning,lsa_dense,1000,1000,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,3
pdf-excel-diff,lsa_dense,1000,1000,2,2,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.38685280723454163,2
pedestrian-traffic-counting,lsa_dense,1000,1000,2,4,0.0,1.0,1.0,1.0,0.5,0.75,0.75,0.5,0.6096199500078984,2
pg-essay-to-audiobook,lsa_dense,1000,1000,2,4,0.0,1.0,1.0,1.0,0.25,0.75,1.0,0.5,0.7045057227504283,2
powerlifting-coef-calc,lsa_dense,1000,1000,2,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
pptx-reference-formatting,lsa_dense,1000,1000,2,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2,0.38685280723454163,5
protein-expression-analysis,lsa_dense,1000,1000,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
python-scala-translation,lsa_dense,1000,1000,2,6,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.9397911964740515,1
quantum-numerical-simulation,lsa_dense,1000,1000,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
r2r-mpc-control,lsa_dense,1000,1000,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
react-performance-debugging,lsa_dense,1000,1000,2,2,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.2,0.23719771276929622,5
reserves-at-risk-calc,lsa_dense,1000,1000,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sales-pivot-analysis,lsa_dense,1000,1000,2,2,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.25,0.2640681225725909,4
scheduling-email-assistant,lsa_dense,1000,1000,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
sec-financial-report,lsa_dense,1000,1000,2,2,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.3333333333333333,0.5249810332008933,3
seismic-phase-picking,lsa_dense,1000,1000,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
setup-fuzzing-py,lsa_dense,1000,1000,2,3,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23463936301137822,3
shock-analysis-demand,lsa_dense,1000,1000,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shock-analysis-supply,lsa_dense,1000,1000,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
simpo-code-reproduction,lsa_dense,1000,1000,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
software-dependency-audit,lsa_dense,1000,1000,2,3,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.25,0.38364913903790027,4
speaker-diarization-subtitles,lsa_dense,1000,1000,2,4,0.0,1.0,1.0,1.0,0.5,0.5,0.75,0.5,0.5543375550857161,2
spring-boot-jakarta-migration,lsa_dense,1000,1000,2,5,1.0,1.0,1.0,1.0,0.2,0.4,1.0,1.0,0.7925092120340054,1
suricata-custom-exfil,lsa_dense,1000,1000,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
syzkaller-ppdev-syzlang,lsa_dense,1000,1000,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
taxonomy-tree-merge,lsa_dense,1000,1000,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
threejs-structure-parser,lsa_dense,1000,1000,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-to-obj,lsa_dense,1000,1000,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
travel-planning,lsa_dense,1000,1000,2,6,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.09109240322345807,9
trend-anomaly-causal-inference,lsa_dense,1000,1000,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
video-filler-word-remover,lsa_dense,1000,1000,2,3,0.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.55744812840856,3
video-silence-remover,lsa_dense,1000,1000,2,7,1.0,1.0,1.0,1.0,0.2857142857142857,0.42857142857142855,0.42857142857142855,1.0,0.5306972923267993,1
video-tutorial-indexer,lsa_dense,1000,1000,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
virtualhome-agent-planning,lsa_dense,1000,1000,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
weighted-gdp-calc,lsa_dense,1000,1000,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
xlsx-recover-data,lsa_dense,1000,1000,2,2,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.3065735963827292,3
3d-scan-calc,lsa_dense,1000,1000,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
adaptive-cruise-control,lsa_dense,1000,1000,3,5,0.0,1.0,1.0,1.0,0.2,0.2,0.2,0.3333333333333333,0.16958010263680806,3
azure-bgp-oscillation-route-leak,lsa_dense,1000,1000,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
citation-check,lsa_dense,1000,1000,3,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,3
civ6-adjacency-optimizer,lsa_dense,1000,1000,3,4,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.1,0.11284514134893527,10
court-form-filling,lsa_dense,1000,1000,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
crystallographic-wyckoff-position-analysis,lsa_dense,1000,1000,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dapt-intrusion-detection,lsa_dense,1000,1000,3,2,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.25,0.2640681225725909,4
data-to-d3,lsa_dense,1000,1000,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dialogue-parser,lsa_dense,1000,1000,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dynamic-object-aware-egomotion,lsa_dense,1000,1000,3,4,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.125,0.123151194370365,8
earthquake-phase-association,lsa_dense,1000,1000,3,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
earthquake-plate-calculation,lsa_dense,1000,1000,3,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1111111111111111,0.3010299956639812,9
econ-detrending-correlation,lsa_dense,1000,1000,3,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.16666666666666666,0.3562071871080222,6
energy-ac-optimal-power-flow,lsa_dense,1000,1000,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16716045496620227,6
energy-market-pricing,lsa_dense,1000,1000,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
enterprise-information-search,lsa_dense,1000,1000,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
exceltable-in-ppt,lsa_dense,1000,1000,3,2,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.25,0.2640681225725909,4
exoplanet-detection-period,lsa_dense,1000,1000,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
financial-modeling-qa,lsa_dense,1000,1000,3,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
find-topk-similiar-chemicals,lsa_dense,1000,1000,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.125,0.2836929289153804,8
fix-build-agentops,lsa_dense,1000,1000,3,4,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.1111111111111111,0.11751610475642714,9
fix-build-google-auto,lsa_dense,1000,1000,3,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.617319681505689,1
fix-druid-loophole-cve,lsa_dense,1000,1000,3,2,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.125,0.19342640361727081,8
fix-erlang-ssh-cve,lsa_dense,1000,1000,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fix-visual-stability,lsa_dense,1000,1000,3,3,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.2960819109658652,2
flink-query,lsa_dense,1000,1000,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
flood-risk-analysis,lsa_dense,1000,1000,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gh-repo-analytics,lsa_dense,1000,1000,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,lsa_dense,1000,1000,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gravitational-wave-detection,lsa_dense,1000,1000,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
grid-dispatch-operator,lsa_dense,1000,1000,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
hvac-control,lsa_dense,1000,1000,3,5,0.0,1.0,1.0,1.0,0.2,0.2,0.2,0.3333333333333333,0.16958010263680806,3
invoice-fraud-detection,lsa_dense,1000,1000,3,3,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.2960819109658652,2
jax-computing-basics,lsa_dense,1000,1000,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jpg-ocr-stat,lsa_dense,1000,1000,3,5,0.0,0.0,1.0,1.0,0.0,0.2,0.4,0.25,0.2530614822099702,4
lab-unit-harmonization,lsa_dense,1000,1000,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
lake-warming-attribution,lsa_dense,1000,1000,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
latex-formula-extraction,lsa_dense,1000,1000,3,2,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8503449055347546,1
lean4-proof,lsa_dense,1000,1000,3,2,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8772153153380493,1
manufacturing-codebook-normalization,lsa_dense,1000,1000,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
manufacturing-equipment-maintenance,lsa_dense,1000,1000,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
manufacturing-fjsp-optimization,lsa_dense,1000,1000,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
mario-coin-counting,lsa_dense,1000,1000,3,3,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.20210734650054757,4
mars-clouds-clustering,lsa_dense,1000,1000,3,3,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.2960819109658652,2
mhc-layer-impl,lsa_dense,1000,1000,3,3,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.20210734650054757,4
multilingual-video-dubbing,lsa_dense,1000,1000,3,6,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.8333333333333334,0.5,0.6422168132571806,2
offer-letter-generator,lsa_dense,1000,1000,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
organize-messy-files,lsa_dense,1000,1000,3,5,1.0,1.0,1.0,1.0,0.2,0.2,0.4,1.0,0.4599715079731103,1
paper-anonymizer,lsa_dense,1000,1000,3,2,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.6509209298071326,2
parallel-tfidf-search,lsa_dense,1000,1000,3,3,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.2960819109658652,2
pddl-tpp-planning,lsa_dense,1000,1000,3,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.16666666666666666,0.3562071871080222,6
pdf-excel-diff,lsa_dense,1000,1000,3,2,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.38685280723454163,2
pedestrian-traffic-counting,lsa_dense,1000,1000,3,4,0.0,0.0,1.0,1.0,0.0,0.25,0.75,0.2,0.41322699210894576,5
pg-essay-to-audiobook,lsa_dense,1000,1000,3,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
powerlifting-coef-calc,lsa_dense,1000,1000,3,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
pptx-reference-formatting,lsa_dense,1000,1000,3,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2,0.38685280723454163,5
protein-expression-analysis,lsa_dense,1000,1000,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
python-scala-translation,lsa_dense,1000,1000,3,6,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.9099466049873366,1
quantum-numerical-simulation,lsa_dense,1000,1000,3,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,3
r2r-mpc-control,lsa_dense,1000,1000,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
react-performance-debugging,lsa_dense,1000,1000,3,2,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.16666666666666666,0.21840743681816419,6
reserves-at-risk-calc,lsa_dense,1000,1000,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sales-pivot-analysis,lsa_dense,1000,1000,3,2,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8503449055347546,1
scheduling-email-assistant,lsa_dense,1000,1000,3,2,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.25,0.48247555939075504,4
sec-financial-report,lsa_dense,1000,1000,3,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.14285714285714285,0.39780880120575696,7
seismic-phase-picking,lsa_dense,1000,1000,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
setup-fuzzing-py,lsa_dense,1000,1000,3,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6049306994552042,1
shock-analysis-demand,lsa_dense,1000,1000,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shock-analysis-supply,lsa_dense,1000,1000,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
simpo-code-reproduction,lsa_dense,1000,1000,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
software-dependency-audit,lsa_dense,1000,1000,3,3,0.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4367467095119258,3
speaker-diarization-subtitles,lsa_dense,1000,1000,3,4,0.0,0.0,1.0,1.0,0.0,0.25,0.5,0.25,0.3071837157818931,4
spring-boot-jakarta-migration,lsa_dense,1000,1000,3,5,1.0,1.0,1.0,1.0,0.2,0.6,1.0,1.0,0.8442380676954223,1
suricata-custom-exfil,lsa_dense,1000,1000,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
syzkaller-ppdev-syzlang,lsa_dense,1000,1000,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
taxonomy-tree-merge,lsa_dense,1000,1000,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
threejs-structure-parser,lsa_dense,1000,1000,3,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6934264036172708,2
threejs-to-obj,lsa_dense,1000,1000,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
travel-planning,lsa_dense,1000,1000,3,6,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.10778915452451095,6
trend-anomaly-causal-inference,lsa_dense,1000,1000,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
video-filler-word-remover,lsa_dense,1000,1000,3,3,0.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.41618115554873086,3
video-silence-remover,lsa_dense,1000,1000,3,7,1.0,1.0,1.0,1.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,1.0,0.47912593929448855,1
video-tutorial-indexer,lsa_dense,1000,1000,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
virtualhome-agent-planning,lsa_dense,1000,1000,3,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2,0.38685280723454163,5
weighted-gdp-calc,lsa_dense,1000,1000,3,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
xlsx-recover-data,lsa_dense,1000,1000,3,2,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.2,0.23719771276929622,5
3d-scan-calc,lsa_dense,1000,1000,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
adaptive-cruise-control,lsa_dense,1000,1000,4,5,0.0,1.0,1.0,1.0,0.2,0.4,0.4,0.5,0.34519134224686937,2
azure-bgp-oscillation-route-leak,lsa_dense,1000,1000,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
citation-check,lsa_dense,1000,1000,4,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
civ6-adjacency-optimizer,lsa_dense,1000,1000,4,4,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.1111111111111111,0.11751610475642714,9
court-form-filling,lsa_dense,1000,1000,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
crystallographic-wyckoff-position-analysis,lsa_dense,1000,1000,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dapt-intrusion-detection,lsa_dense,1000,1000,4,2,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.1,0.17723928678404774,10
data-to-d3,lsa_dense,1000,1000,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dialogue-parser,lsa_dense,1000,1000,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dynamic-object-aware-egomotion,lsa_dense,1000,1000,4,4,0.0,1.0,1.0,1.0,0.25,0.25,0.25,0.3333333333333333,0.19519002499605084,3
earthquake-phase-association,lsa_dense,1000,1000,4,4,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.9709286432396583,1
earthquake-plate-calculation,lsa_dense,1000,1000,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
econ-detrending-correlation,lsa_dense,1000,1000,4,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2,0.38685280723454163,5
energy-ac-optimal-power-flow,lsa_dense,1000,1000,4,3,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23463936301137822,3
energy-market-pricing,lsa_dense,1000,1000,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
enterprise-information-search,lsa_dense,1000,1000,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
exceltable-in-ppt,lsa_dense,1000,1000,4,2,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.25,0.2640681225725909,4
exoplanet-detection-period,lsa_dense,1000,1000,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
financial-modeling-qa,lsa_dense,1000,1000,4,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
find-topk-similiar-chemicals,lsa_dense,1000,1000,4,3,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.25,0.35853358850813305,4
fix-build-agentops,lsa_dense,1000,1000,4,4,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.1111111111111111,0.11751610475642714,9
fix-build-google-auto,lsa_dense,1000,1000,4,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
fix-druid-loophole-cve,lsa_dense,1000,1000,4,2,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.16666666666666666,0.21840743681816419,6
fix-erlang-ssh-cve,lsa_dense,1000,1000,4,6,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.09109240322345807,9
fix-visual-stability,lsa_dense,1000,1000,4,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
flink-query,lsa_dense,1000,1000,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
flood-risk-analysis,lsa_dense,1000,1000,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gh-repo-analytics,lsa_dense,1000,1000,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,lsa_dense,1000,1000,4,3,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.125,0.1480409554829326,8
gravitational-wave-detection,lsa_dense,1000,1000,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
grid-dispatch-operator,lsa_dense,1000,1000,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
hvac-control,lsa_dense,1000,1000,4,5,0.0,1.0,1.0,1.0,0.2,0.2,0.2,0.3333333333333333,0.16958010263680806,3
invoice-fraud-detection,lsa_dense,1000,1000,4,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
jax-computing-basics,lsa_dense,1000,1000,4,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
jpg-ocr-stat,lsa_dense,1000,1000,4,5,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.1,0.09803928583135704,10
lab-unit-harmonization,lsa_dense,1000,1000,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
lake-warming-attribution,lsa_dense,1000,1000,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
latex-formula-extraction,lsa_dense,1000,1000,4,2,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8503449055347546,1
lean4-proof,lsa_dense,1000,1000,4,2,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8772153153380493,1
manufacturing-codebook-normalization,lsa_dense,1000,1000,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
manufacturing-equipment-maintenance,lsa_dense,1000,1000,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
manufacturing-fjsp-optimization,lsa_dense,1000,1000,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
mario-coin-counting,lsa_dense,1000,1000,4,3,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.14126697285982898,9
mars-clouds-clustering,lsa_dense,1000,1000,4,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
mhc-layer-impl,lsa_dense,1000,1000,4,3,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.125,0.1480409554829326,8
